RUN	smartsale.Scenario5Items10Users	scenario5items10users	1605218733306	 	3.4.1
USER	Warm up	START	1605218734568
REQUEST		warm_up	1605218734591	1605218735359	OK	 
USER	Warm up	START	1605218735567
REQUEST		warm_up	1605218735552	1605218735773	OK	 
REQUEST		warm_up	1605218736242	1605218736462	OK	 
USER	Warm up	START	1605218736572
REQUEST		warm_up	1605218735895	1605218736599	OK	 
REQUEST		warm_up	1605218736572	1605218736790	OK	 
REQUEST		warm_up	1605218736994	1605218737250	OK	 
REQUEST		warm_up	1605218737209	1605218737467	OK	 
REQUEST		warm_up	1605218736791	1605218737536	OK	 
USER	Warm up	START	1605218737566
REQUEST		warm_up	1605218737394	1605218737617	OK	 
REQUEST		warm_up	1605218737596	1605218737827	OK	 
REQUEST		warm_up	1605218737786	1605218738015	OK	 
REQUEST		warm_up	1605218738112	1605218738363	OK	 
USER	Warm up	START	1605218738562
REQUEST		warm_up	1605218738282	1605218738616	OK	 
REQUEST		warm_up	1605218737956	1605218738684	OK	 
REQUEST		warm_up	1605218738441	1605218738685	OK	 
REQUEST		warm_up	1605218738611	1605218738824	OK	 
REQUEST		warm_up	1605218738889	1605218739138	OK	 
REQUEST		warm_up	1605218739001	1605218739204	OK	 
REQUEST		warm_up	1605218739123	1605218739375	OK	 
REQUEST		warm_up	1605218739251	1605218739471	OK	 
REQUEST		warm_up	1605218738766	1605218739505	OK	 
USER	Warm up	START	1605218739562
REQUEST		warm_up	1605218739374	1605218739629	OK	 
REQUEST		warm_up	1605218739514	1605218739759	OK	 
REQUEST		warm_up	1605218739641	1605218739867	OK	 
REQUEST		warm_up	1605218739741	1605218740005	OK	 
REQUEST		warm_up	1605218739848	1605218740072	OK	 
REQUEST		warm_up	1605218740051	1605218740291	OK	 
REQUEST		warm_up	1605218740161	1605218740377	OK	 
REQUEST		warm_up	1605218740268	1605218740500	OK	 
USER	Warm up	START	1605218740560
REQUEST		warm_up	1605218740361	1605218740632	OK	 
REQUEST		warm_up	1605218739943	1605218740643	OK	 
REQUEST		warm_up	1605218740468	1605218740679	OK	 
REQUEST		warm_up	1605218740560	1605218740817	OK	 
REQUEST		warm_up	1605218740642	1605218740888	OK	 
REQUEST		warm_up	1605218740761	1605218741008	OK	 
REQUEST		warm_up	1605218740949	1605218741204	OK	 
REQUEST		warm_up	1605218741031	1605218741257	OK	 
REQUEST		warm_up	1605218741113	1605218741350	OK	 
REQUEST		warm_up	1605218741206	1605218741457	OK	 
REQUEST		warm_up	1605218741294	1605218741534	OK	 
USER	Warm up	START	1605218741562
REQUEST		warm_up	1605218741387	1605218741575	OK	 
REQUEST		warm_up	1605218740854	1605218741621	OK	 
REQUEST		warm_up	1605218741481	1605218741686	OK	 
REQUEST		warm_up	1605218741581	1605218741826	OK	 
REQUEST		warm_up	1605218741671	1605218741900	OK	 
REQUEST		warm_up	1605218741771	1605218742018	OK	 
REQUEST		warm_up	1605218741851	1605218742090	OK	 
REQUEST		warm_up	1605218742001	1605218742204	OK	 
REQUEST		warm_up	1605218742081	1605218742325	OK	 
REQUEST		warm_up	1605218742152	1605218742351	OK	 
REQUEST		warm_up	1605218742231	1605218742434	OK	 
REQUEST		warm_up	1605218742319	1605218742525	OK	 
USER	Warm up	START	1605218742570
REQUEST		warm_up	1605218741927	1605218742639	OK	 
REQUEST		warm_up	1605218742399	1605218742650	OK	 
REQUEST		warm_up	1605218742461	1605218742684	OK	 
REQUEST		warm_up	1605218742541	1605218742754	OK	 
REQUEST		warm_up	1605218742617	1605218742856	OK	 
REQUEST		warm_up	1605218742680	1605218742950	OK	 
REQUEST		warm_up	1605218742757	1605218742969	OK	 
REQUEST		warm_up	1605218742821	1605218743013	OK	 
REQUEST		warm_up	1605218742961	1605218743170	OK	 
REQUEST		warm_up	1605218743022	1605218743243	OK	 
REQUEST		warm_up	1605218743101	1605218743294	OK	 
REQUEST		warm_up	1605218743164	1605218743385	OK	 
REQUEST		warm_up	1605218743241	1605218743459	OK	 
REQUEST		warm_up	1605218743291	1605218743546	OK	 
USER	Warm up	START	1605218743557
REQUEST		warm_up	1605218743366	1605218743592	OK	 
REQUEST		warm_up	1605218742883	1605218743634	OK	 
REQUEST		warm_up	1605218743431	1605218743641	OK	 
REQUEST		warm_up	1605218743493	1605218743715	OK	 
REQUEST		warm_up	1605218743572	1605218743800	OK	 
REQUEST		warm_up	1605218743634	1605218743853	OK	 
REQUEST		warm_up	1605218743681	1605218743911	OK	 
REQUEST		warm_up	1605218743774	1605218744015	OK	 
REQUEST		warm_up	1605218743836	1605218744090	OK	 
REQUEST		warm_up	1605218743960	1605218744194	OK	 
REQUEST		warm_up	1605218744023	1605218744243	OK	 
REQUEST		warm_up	1605218744085	1605218744303	OK	 
REQUEST		warm_up	1605218744148	1605218744364	OK	 
REQUEST		warm_up	1605218744210	1605218744420	OK	 
REQUEST		warm_up	1605218744272	1605218744497	OK	 
REQUEST		warm_up	1605218744321	1605218744555	OK	 
REQUEST		warm_up	1605218744397	1605218744611	OK	 
REQUEST		warm_up	1605218743898	1605218744630	OK	 
REQUEST		warm_up	1605218744459	1605218744702	OK	 
REQUEST		warm_up	1605218744507	1605218744735	OK	 
REQUEST		warm_up	1605218744586	1605218744800	OK	 
REQUEST		warm_up	1605218744633	1605218744816	OK	 
REQUEST		warm_up	1605218744711	1605218744972	OK	 
REQUEST		warm_up	1605218744791	1605218745024	OK	 
REQUEST		warm_up	1605218744851	1605218745072	OK	 
REQUEST		warm_up	1605218744901	1605218745132	OK	 
REQUEST		warm_up	1605218744962	1605218745209	OK	 
REQUEST		warm_up	1605218745011	1605218745263	OK	 
REQUEST		warm_up	1605218745072	1605218745304	OK	 
REQUEST		warm_up	1605218745121	1605218745329	OK	 
REQUEST		warm_up	1605218745180	1605218745409	OK	 
REQUEST		warm_up	1605218745228	1605218745422	OK	 
REQUEST		warm_up	1605218745291	1605218745501	OK	 
REQUEST		exec_rpm	1605218745341	1605218745571	OK	 
REQUEST		warm_up	1605218745401	1605218745627	OK	 
REQUEST		warm_up	1605218745461	1605218745699	OK	 
REQUEST		warm_up	1605218745508	1605218745774	OK	 
REQUEST		warm_up	1605218745571	1605218745797	OK	 
REQUEST		warm_up	1605218745616	1605218745854	OK	 
REQUEST		warm_up	1605218745679	1605218745904	OK	 
REQUEST		warm_up	1605218745711	1605218745929	OK	 
REQUEST		warm_up	1605218745790	1605218745998	OK	 
REQUEST		warm_up	1605218745836	1605218746047	OK	 
REQUEST		exec_rpm	1605218745883	1605218746103	OK	 
REQUEST		warm_up	1605218745931	1605218746159	OK	 
REQUEST		warm_up	1605218745992	1605218746247	OK	 
REQUEST		warm_up	1605218746039	1605218746262	OK	 
REQUEST		warm_up	1605218746087	1605218746301	OK	 
REQUEST		exec_rpm	1605218746135	1605218746368	OK	 
REQUEST		warm_up	1605218746183	1605218746394	OK	 
REQUEST		warm_up	1605218746231	1605218746470	OK	 
REQUEST		warm_up	1605218746281	1605218746539	OK	 
REQUEST		exec_rpm	1605218746387	1605218746580	OK	 
REQUEST		warm_up	1605218746340	1605218746599	OK	 
REQUEST		warm_up	1605218746434	1605218746643	OK	 
REQUEST		warm_up	1605218746480	1605218746715	OK	 
REQUEST		warm_up	1605218746531	1605218746766	OK	 
REQUEST		warm_up	1605218746574	1605218746841	OK	 
REQUEST		exec_rpm	1605218746621	1605218746857	OK	 
REQUEST		warm_up	1605218746682	1605218746915	OK	 
REQUEST		warm_up	1605218746731	1605218746936	OK	 
REQUEST		warm_up	1605218746806	1605218747012	OK	 
REQUEST		exec_rpm	1605218746853	1605218747088	OK	 
REQUEST		warm_up	1605218746901	1605218747133	OK	 
REQUEST		warm_up	1605218746945	1605218747177	OK	 
REQUEST		exec_rpm	1605218746992	1605218747220	OK	 
REQUEST		warm_up	1605218747040	1605218747286	OK	 
REQUEST		warm_up	1605218747101	1605218747350	OK	 
REQUEST		exec_rpm	1605218747132	1605218747356	OK	 
REQUEST		warm_up	1605218747181	1605218747421	OK	 
REQUEST		warm_up	1605218747231	1605218747496	OK	 
REQUEST		warm_up	1605218747289	1605218747519	OK	 
REQUEST		exec_rpm	1605218747335	1605218747547	OK	 
REQUEST		warm_up	1605218747371	1605218747612	OK	 
REQUEST		warm_up	1605218747413	1605218747637	OK	 
REQUEST		exec_rpm	1605218747461	1605218747707	OK	 
REQUEST		warm_up	1605218747507	1605218747768	OK	 
REQUEST		warm_up	1605218747555	1605218747797	OK	 
REQUEST		exec_rpm	1605218747618	1605218747849	OK	 
REQUEST		warm_up	1605218747651	1605218747878	OK	 
REQUEST		warm_up	1605218747701	1605218747943	OK	 
REQUEST		warm_up	1605218747751	1605218747969	OK	 
REQUEST		exec_rpm	1605218747811	1605218748031	OK	 
REQUEST		warm_up	1605218747854	1605218748074	OK	 
REQUEST		exec_rpm	1605218747891	1605218748107	OK	 
REQUEST		exec_rpm	1605218747949	1605218748176	OK	 
REQUEST		warm_up	1605218747981	1605218748212	OK	 
REQUEST		warm_up	1605218748031	1605218748272	OK	 
REQUEST		exec_rpm	1605218748076	1605218748310	OK	 
REQUEST		warm_up	1605218748111	1605218748370	OK	 
